date,temperature,humidity,luminosity
2019-11-27 16:55:29.177,23.8,30.4,100
2019-11-27 16:55:26.904,23.8,30.4,101
2019-11-27 16:55:24.635,23.8,30.4,101
2019-11-27 16:55:22.361,23.9,30.5,101
2019-11-27 16:55:20.087,23.8,30.4,101
2019-11-27 16:55:17.815,23.9,30.5,101
2019-11-27 16:55:15.541,23.8,30.4,101
2019-11-27 16:55:13.268,23.8,30.3,101
2019-11-27 16:55:10.994,23.8,30.3,100
2019-11-27 16:55:08.726,23.9,30.4,100
2019-11-27 16:55:06.447,23.8,30.4,96
2019-11-27 16:55:04.178,23.8,30.4,101
2019-11-27 16:55:01.905,23.8,30.4,100
2019-11-27 16:54:59.632,23.8,30.4,101
2019-11-27 16:54:57.358,23.9,30.5,101
2019-11-27 16:54:55.085,23.8,30.4,101
2019-11-27 16:54:52.817,23.8,30.4,100
2019-11-27 16:54:50.544,23.9,30.5,100
2019-11-27 16:54:48.270,23.9,30.5,100
2019-11-27 16:54:45.997,23.9,30.5,100
2019-11-27 16:54:43.724,23.8,30.4,100
2019-11-27 16:54:41.450,23.9,30.5,100
2019-11-27 16:54:39.177,23.8,30.4,100
2019-11-27 16:54:36.908,23.8,30.4,100
2019-11-27 16:54:34.635,23.8,30.4,100
2019-11-27 16:54:32.361,23.9,30.6,94
2019-11-27 16:54:30.088,23.9,30.6,98
2019-11-27 16:54:27.815,23.9,30.6,99
2019-11-27 16:54:25.542,23.9,30.6,95
2019-11-27 16:54:23.269,23.9,30.6,95
2019-11-27 16:54:20.996,23.9,30.6,96
2019-11-27 16:54:18.727,23.8,30.6,101
2019-11-27 16:54:16.453,23.8,30.6,102
2019-11-27 16:54:14.180,23.9,30.7,101
2019-11-27 16:54:11.907,23.9,30.7,102
2019-11-27 16:54:09.634,23.8,30.6,101
2019-11-27 16:54:07.359,23.8,30.6,101
2019-11-27 16:54:05.092,23.8,30.5,101
2019-11-27 16:54:02.819,23.9,30.6,101
2019-11-27 16:54:00.545,23.9,30.6,102
2019-11-27 16:53:58.272,23.9,30.5,101
2019-11-27 16:53:56.000,23.8,30.4,101
2019-11-27 16:53:53.727,23.8,30.4,100
2019-11-27 16:53:51.457,23.8,30.4,101
2019-11-27 16:53:49.184,23.9,30.5,101
2019-11-27 16:53:46.911,23.8,30.3,101
2019-11-27 16:53:44.637,23.8,30.3,101
2019-11-27 16:53:42.364,23.9,30.3,100
2019-11-27 16:53:40.091,23.9,30.3,100
2019-11-27 16:53:37.818,23.8,30.3,99
2019-11-27 16:53:35.544,23.8,30.2,97
2019-11-27 16:53:33.271,23.9,30.3,97
2019-11-27 16:53:30.998,23.8,30.2,99
2019-11-27 16:53:28.725,23.8,30.2,97
2019-11-27 16:53:26.456,23.8,30.2,96
2019-11-27 16:53:24.183,23.9,30.3,100
2019-11-27 16:53:21.909,23.8,30.2,100
2019-11-27 16:53:19.636,23.8,30.2,100
2019-11-27 16:53:17.363,23.8,30.3,101
2019-11-27 16:53:15.089,23.9,30.3,100
2019-11-27 16:53:12.820,23.8,30.3,100
2019-11-27 16:53:10.547,23.9,30.4,100
2019-11-27 16:53:08.274,23.9,30.4,100
2019-11-27 16:53:05.999,23.8,30.3,99
2019-11-27 16:53:03.727,23.8,30.3,91
2019-11-27 16:53:01.454,23.9,30.4,92
2019-11-27 16:52:59.181,23.9,30.4,90
2019-11-27 16:52:56.907,23.8,30.3,89
2019-11-27 16:52:54.634,23.9,30.4,89
2019-11-27 16:52:52.365,23.8,30.3,90
2019-11-27 16:52:50.091,23.8,30.4,89
2019-11-27 16:52:47.818,23.9,30.4,89
2019-11-27 16:52:45.545,23.8,30.4,89
2019-11-27 16:52:43.272,23.8,30.4,89
2019-11-27 16:52:40.998,23.8,30.4,89
2019-11-27 16:52:38.729,23.8,30.4,89
2019-11-27 16:52:36.456,23.8,30.4,90
2019-11-27 16:52:34.183,23.8,30.3,90
2019-11-27 16:52:31.910,23.8,30.3,98
2019-11-27 16:52:29.637,23.9,30.4,98
2019-11-27 16:52:27.364,23.9,30.4,97
2019-11-27 16:52:25.095,23.9,30.3,100
2019-11-27 16:52:22.821,23.8,30.3,99
2019-11-27 16:52:20.548,23.9,30.3,99
2019-11-27 16:52:18.275,23.8,30.3,99
2019-11-27 16:52:16.001,23.8,30.3,99
2019-11-27 16:52:13.728,23.9,30.4,99
2019-11-27 16:52:11.455,23.8,30.3,100
2019-11-27 16:52:09.181,23.8,30.3,99
2019-11-27 16:52:06.908,23.9,30.4,99
2019-11-27 16:52:04.640,23.9,30.4,98
2019-11-27 16:52:02.367,23.8,30.3,98
2019-11-27 16:52:00.094,23.8,30.3,99
2019-11-27 16:51:57.821,23.8,30.3,99
2019-11-27 16:51:55.548,23.9,30.4,99
2019-11-27 16:51:53.279,23.9,30.4,100
2019-11-27 16:51:51.005,23.8,30.3,100
2019-11-27 16:51:48.731,23.8,30.3,100
2019-11-27 16:51:46.459,23.8,30.3,100
2019-11-27 16:51:44.186,23.8,30.3,100
2019-11-27 16:51:41.912,23.9,30.4,100
2019-11-27 16:51:39.639,23.9,30.4,100
2019-11-27 16:51:37.370,23.9,30.4,100
2019-11-27 16:51:35.092,23.8,30.3,99
2019-11-27 16:51:32.823,23.9,30.4,99
2019-11-27 16:51:30.550,23.9,30.4,100
2019-11-27 16:51:28.277,23.9,30.4,97
2019-11-27 16:51:26.004,23.9,30.4,96
2019-11-27 16:51:23.731,23.9,30.4,99
2019-11-27 16:51:21.461,23.9,30.4,100
2019-11-27 16:51:19.189,23.9,30.4,99
2019-11-27 16:51:16.915,23.9,30.4,99
2019-11-27 16:51:14.642,23.9,30.4,99
2019-11-27 16:51:12.368,23.9,30.4,94
2019-11-27 16:51:10.099,23.9,30.4,100
2019-11-27 16:51:07.825,23.9,30.4,99
2019-11-27 16:51:05.553,23.9,30.4,98
2019-11-27 16:51:03.279,23.9,30.4,98
2019-11-27 16:51:01.006,23.9,30.4,94
2019-11-27 16:50:58.733,23.9,30.4,98
2019-11-27 16:50:56.459,23.9,30.4,99
2019-11-27 16:50:54.190,23.9,30.4,98
2019-11-27 16:50:51.917,23.8,30.3,99
2019-11-27 16:50:49.644,23.8,30.3,99
2019-11-27 16:50:47.371,23.9,30.4,98
2019-11-27 16:50:45.097,23.9,30.4,96
2019-11-27 16:50:42.824,23.9,30.4,95
2019-11-27 16:50:40.553,23.8,30.4,99
2019-11-27 16:50:38.281,23.9,30.4,100
2019-11-27 16:50:36.008,23.9,30.4,100
2019-11-27 16:50:33.736,23.9,30.4,100
2019-11-27 16:50:31.467,23.9,30.4,100
2019-11-27 16:50:29.193,23.9,30.4,100
2019-11-27 16:50:26.920,23.9,30.4,100
2019-11-27 16:50:24.647,23.9,30.4,100
2019-11-27 16:50:22.373,23.9,30.4,100
